ケース番号,Aurora_Roll,Aurora_Pitch,Aurora_Yaw,Robot_Roll,Robot_Pitch,Robot_Yaw,Arm_Roll,Arm_Pitch,Arm_Yaw,Aurora→Robot変換,Sensor→Arm変換,Aurora→Robot_Max_Error,Sensor→Arm_Max_Error
1,0,0,0,0.0,0.0,45.0,0.0,0.0,90.0,一致,一致,0.0,4.440892098500626e-16
2,180,0,0,180.0,0.0,45.0,180.0,0.0,90.0,一致,一致,0.0,4.440892098500626e-16
3,0,180,0,180.0,0.0,-135.0,-180.0,0.0,-90.0,一致,一致,1.731854914143871e-16,2.4492127076447545e-16
4,0,0,180,0.0,0.0,-135.0,0.0,0.0,-90.0,一致,一致,2.220446049250313e-16,0.0
5,90,0,0,90.0,0.0,45.0,90.0,0.0,90.0,一致,一致,1.1102230246251565e-16,3.3306690738754696e-16
6,0,90,0,-45.0,90.0,0.0,-90.0,90.0,0.0,一致,一致,1.5700924586837752e-16,3.3306690738754696e-16
7,0,0,90,135.0,0.0,0.0,180.0,-90.0,0.0,不一致,不一致,1.7071067811865475,1.0
8,-90,0,0,-90.0,0.0,45.0,-90.0,0.0,90.0,一致,一致,1.1102230246251565e-16,3.3306690738754696e-16
9,0,-90,0,45.0,-90.0,0.0,90.0,-90.0,0.0,一致,一致,1.5700924586837752e-16,3.3306690738754696e-16
10,0,0,-90,0.0,-90.0,0.0,0.0,-90.0,0.0,不一致,不一致,1.0,0.7071067811865476
11,45,0,0,45.0009,0.0,45.0,45.0009,0.0,90.0,一致,一致,1.1107294580758875e-05,3.3306690738754696e-16
12,0,45,0,0.0,45.0009,45.0,0.0,45.0009,90.0,一致,一致,1.1107294580758875e-05,3.3306690738754696e-16
13,0,0,45,0.0,0.0,90.0009,0.0,0.0,135.0009,一致,一致,1.5707963267275193e-05,3.3306690738754696e-16
14,-45,0,0,-45.0009,0.0,45.0,-45.0009,0.0,90.0,一致,一致,1.1107294580758875e-05,3.3306690738754696e-16
15,0,-45,0,0.0,-45.0009,45.0,0.0,-45.0009,90.0,一致,一致,1.1107294580758875e-05,3.3306690738754696e-16
16,0,0,-45,0.0,0.0,-0.0009,0.0,0.0,44.9991,一致,一致,1.5707963267303e-05,1.1102230246251565e-16
17,30,0,0,29.9987,0.0,45.0,29.9987,0.0,90.0,一致,一致,1.9649621811723694e-05,2.7755575615628914e-16
18,0,30,0,0.0,29.9987,45.0,0.0,29.9987,90.0,一致,一致,1.9649621811723694e-05,2.7755575615628914e-16
19,0,0,30,0.0,0.0,74.9987,0.0,0.0,119.9987,一致,一致,2.191609517621096e-05,2.220446049250313e-16
20,180,180,0,-180.0,0.0,-45.0,-180.0,0.0,0.0,不一致,一致,2.0,0.0
21,180,0,180,-135.0,-90.0,0.0,-90.0,-90.0,0.0,不一致,一致,1.414213562373095,1.3738309013483032e-16
22,0,180,180,90.0,0.0,-135.0,90.0,0.0,-90.0,不一致,一致,1.414213562373095,1.1102230246251565e-16
23,90,90,0,90.0008,45.0,90.0005,90.0008,45.0,135.0005,不一致,一致,0.7071067811596227,2.220446049250313e-16
24,90,0,90,54.7359,-30.0003,99.7359,54.7359,-30.0003,144.7359,不一致,一致,0.8535491273884015,2.220446049250313e-16
25,0,90,90,45.0005,45.0,135.0008,45.0005,45.0,-179.9992,不一致,一致,0.8535489213604759,2.220446049250313e-16
26,120,120,120,90.0,0.0,135.0,90.0,0.0,180.0,不一致,一致,1.4330127018922192,1.2246063538223773e-16
27,30,30,30,59.1227,8.4893,75.0846,59.1227,8.4893,120.0846,不一致,一致,0.4365519160298142,1.6653345369377348e-16
28,45,45,45,90.0,0.0,74.9985,90.0,0.0,119.9985,不一致,一致,0.7588443328928203,2.220446049250313e-16
29,45,45,30,61.0129,17.3199,106.0129,61.0129,17.3199,151.0129,不一致,一致,0.5493495281364114,1.1102230246251565e-16
30,30,30,90,44.9991,0.0,135.0,44.9991,0.0,180.0,不一致,一致,0.49999999999999994,1.2246063538223773e-16
31,10,0,0,10.005,0.0,45.0,10.005,0.0,90.0,一致,一致,8.594002763387398e-05,2.7755575615628914e-16
32,0,10,0,0.0,10.005,45.0,0.0,10.005,90.0,一致,一致,8.594002763387398e-05,2.7755575615628914e-16
33,0,0,10,0.0,0.0,55.005,0.0,0.0,100.005,一致,一致,7.148668516288037e-05,1.1102230246251565e-16
34,5,5,0,5.0121,4.993,45.2187,5.0121,4.993,90.2187,不一致,一致,0.002691195310654315,2.7755575615628914e-16
35,150,0,0,150.0013,0.0,45.0,150.0013,0.0,90.0,一致,一致,1.9649621811279605e-05,3.95516952522712e-16
36,0,150,0,-180.0,29.9987,-135.0,-180.0,29.9987,-90.0,一致,一致,1.9649621811723694e-05,1.3877787807814457e-16
37,0,0,150,0.0,0.0,-164.9987,0.0,0.0,-119.9987,一致,一致,2.191609517576687e-05,3.3306690738754696e-16
38,60,80,100,64.5733,10.2255,141.4713,64.5733,10.2255,-173.5287,不一致,一致,0.8072850051723446,3.3306690738754696e-16
39,30,60,90,44.9984,19.4668,126.8652,44.9984,19.4668,171.8652,不一致,一致,0.6011021207085587,1.1102230246251565e-16
40,60,60,60,69.8913,14.1259,114.8913,69.8913,14.1259,159.8913,不一致,一致,0.6219719956898104,1.942890293094024e-16
